Rinsed degree sequences from file /home/harrisonw/betti/code/cppCode/burnfiles/c8/huge_output_parsed.txt
{0,1,2,3,4,5,6,7,8}
{0,1,2,3,4,5,7,8,9}
{0,1,2,4,5,6,7,8,9}
{0,1,2,3,4,5,8,9,10}
{0,1,2,3,4,6,7,9,10}
{0,1,2,3,4,6,8,9,10}
{0,1,2,3,4,7,8,9,10}
{0,1,2,3,5,7,8,9,10}
{0,1,2,3,6,7,8,9,10}
{0,1,2,4,6,7,8,9,10}
{0,1,2,5,6,7,8,9,10}
{0,1,3,4,6,7,8,9,10}
{0,1,2,3,4,8,9,10,11}
{0,1,2,3,7,8,9,10,11}
{0,1,2,3,4,5,7,11,12}
{0,1,2,3,4,5,9,11,12}
{0,1,2,3,4,5,10,11,12}
{0,1,2,3,4,8,10,11,12}
{0,1,2,3,4,9,10,11,12}
{0,1,2,3,5,8,9,11,12}
{0,1,2,3,8,9,10,11,12}
{0,1,2,4,8,9,10,11,12}
{0,1,2,7,8,9,10,11,12}
{0,1,3,4,5,7,8,11,12}
{0,1,3,4,7,9,10,11,12}
{0,1,3,7,8,9,10,11,12}
{0,1,4,5,7,8,9,11,12}
{0,1,5,7,8,9,10,11,12}
{0,1,2,8,9,10,11,12,13}
{0,1,2,3,4,5,12,13,14}
{0,1,2,3,4,11,12,13,14}
{0,1,2,3,10,11,12,13,14}
{0,1,2,9,10,11,12,13,14}
{0,1,3,9,10,11,12,13,14}
{0,1,4,5,6,8,9,13,14}
{0,1,5,6,8,9,10,13,14}
{0,1,8,9,10,11,12,13,14}
{0,2,3,4,5,6,11,12,14}
{0,2,3,8,9,10,11,12,14}
{0,1,2,3,4,11,13,14,15}
{0,1,2,4,11,12,13,14,15}
{0,1,2,9,11,12,13,14,15}
{0,1,7,8,11,12,13,14,15}
{0,2,8,9,11,12,13,14,15}
{0,1,2,3,5,12,13,14,16}
{0,1,2,3,6,7,10,15,16}
{0,1,2,5,11,12,13,15,16}
{0,1,2,5,12,13,14,15,16}
{0,1,3,4,5,11,14,15,16}
{0,1,4,5,6,7,9,15,16}
{0,1,5,7,9,10,11,12,16}
{0,1,5,11,12,13,14,15,16}
{0,1,6,9,10,13,14,15,16}
{0,1,7,8,9,13,14,15,16}
{0,1,7,9,10,11,12,15,16}
{0,2,3,4,11,13,14,15,16}
{0,2,4,11,12,13,14,15,16}
{0,2,6,7,8,9,10,14,16}
{0,3,9,11,12,13,14,15,16}
{0,4,5,6,7,9,11,15,16}
{0,1,9,10,13,14,16,17,18}
{0,1,10,11,12,13,14,17,18}
{0,1,10,13,14,15,16,17,18}
{0,2,7,11,13,14,15,16,18}
{0,2,11,12,13,14,15,16,18}
{0,3,10,11,13,14,15,16,18}
{0,2,5,7,8,9,13,18,20}
{0,2,7,11,12,13,15,18,20}
{0,1,2,3,4,18,19,20,21}
{0,1,2,3,17,18,19,20,21}
{0,1,2,9,10,11,12,20,21}
{0,1,2,16,17,18,19,20,21}
{0,1,5,10,11,12,15,16,21}
{0,1,9,10,11,12,19,20,21}
{0,1,15,16,17,18,19,20,21}
{0,2,14,16,17,18,19,20,21}
{0,3,13,15,16,17,18,20,21}
{0,4,13,14,16,17,18,20,21}
{0,5,6,9,10,11,16,20,21}
{0,1,3,17,18,19,20,21,22}
{0,1,5,6,10,12,17,21,22}
{0,1,5,10,12,16,17,21,22}
{0,1,8,9,10,12,13,21,22}
{0,1,9,10,12,13,14,21,22}
{0,2,7,8,9,10,13,20,22}
{0,2,9,12,13,14,15,20,22}
{0,2,13,14,15,16,18,20,22}
{0,2,5,16,17,19,21,22,24}
{0,4,13,15,17,18,21,22,24}
{0,4,14,15,16,18,20,22,24}
{0,2,12,14,15,20,22,24,26}
{0,1,12,13,14,22,25,26,27}
{0,1,12,13,16,21,22,25,27}
{0,2,5,6,11,14,15,26,27}
{0,2,11,14,15,20,24,26,27}
{0,1,2,23,24,25,26,27,28}
{0,1,22,23,24,25,26,27,28}
{0,2,12,22,23,24,25,26,28}
{0,1,21,22,23,24,28,29,30}
{0,3,19,22,24,25,27,28,30}
{0,4,19,22,23,26,27,28,30}
{0,5,10,11,12,15,17,27,32}
{0,5,15,17,20,21,22,27,32}
{0,2,24,26,28,29,30,31,33}
{0,3,14,18,19,22,24,25,33}
{0,5,23,25,27,28,30,32,33}
{0,8,9,11,14,15,19,30,33}
{0,1,29,30,31,32,33,34,35}
{0,2,20,22,26,27,28,30,35}
{0,1,15,16,17,19,20,35,36}
{0,1,16,17,19,20,21,35,36}
{0,1,16,18,25,28,33,34,36}
{0,1,28,29,30,33,34,35,36}
{0,6,25,26,27,28,32,33,38}
{0,7,25,28,29,32,33,36,39}
{0,7,25,27,28,32,33,39,40}
{0,8,28,30,32,33,35,36,40}
{0,1,36,37,38,39,40,41,42}
{0,2,30,32,34,35,36,42,44}
{0,3,35,36,38,39,41,42,44}
{0,5,27,29,34,35,39,40,44}
{0,6,20,32,36,38,39,42,44}
{0,6,30,32,36,38,39,42,44}
{0,6,26,32,38,39,42,44,45}
{0,3,33,35,36,39,42,45,48}
{0,6,12,26,38,42,44,45,48}
{0,6,36,38,39,42,44,45,48}
{0,1,43,44,45,46,47,48,49}
{0,1,41,42,46,47,48,49,50}
{0,9,39,41,42,44,45,48,50}
